                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0069,                 3.6829,                 4.2782,                0.00366,                    0.9,                0.01444,                0.00529,                    nan,                    nan,                    nan,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.1089,                 3.7508,                 4.2563,                0.00376,                  0.925,                0.01623,                0.00605,                    nan,                    nan,                    nan,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      3,                 3.2008,                 3.7187,                 4.2667,                0.00366,                    0.9,                0.01401,                 0.0052,                    nan,                    nan,                    nan,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      4,                  3.003,                  3.616,                 4.2371,                0.00395,                  0.925,                0.01742,                0.00613,                    nan,                    nan,                    nan,             0.00013958,             0.00013958,             0.00013958
                      5,                 3.1746,                 3.6286,                 4.2767,                0.00371,                    0.9,                0.02302,                0.00687,                    nan,                    nan,                    nan,             0.00017929,             0.00017929,             0.00017929
                      6,                 3.2571,                 3.6192,                 4.2742,                0.00378,                  0.925,                0.02044,                0.00747,                    nan,                    nan,                    nan,             0.00021891,             0.00021891,             0.00021891
                      7,                 3.0291,                 3.5673,                 4.2383,                0.00371,                    0.9,                0.03159,                0.00797,                    nan,                    nan,                    nan,             0.00025846,             0.00025846,             0.00025846
                      8,                 2.9765,                 3.6003,                 4.2289,                 0.0037,                    0.9,                0.02388,                0.00679,                    nan,                    nan,                    nan,             0.00029792,             0.00029792,             0.00029792
                      9,                 3.1644,                 3.5373,                 4.2005,                0.00371,                    0.9,                0.02637,                0.00708,                    nan,                    nan,                    nan,             0.00033731,             0.00033731,             0.00033731
                     10,                 3.0569,                 3.4921,                 4.1944,                 0.0038,                    0.9,                0.01827,                0.00592,                    nan,                    nan,                    nan,             0.00037661,             0.00037661,             0.00037661
                     11,                 3.0352,                 3.5571,                  4.204,                 0.0038,                    0.9,                0.02172,                 0.0068,                    nan,                    nan,                    nan,             0.00041584,             0.00041584,             0.00041584
                     12,                 3.1081,                 3.4938,                 4.1696,                0.00388,                  0.925,                0.02439,                0.00691,                    nan,                    nan,                    nan,             0.00045499,             0.00045499,             0.00045499
                     13,                  3.001,                 3.5304,                  4.169,                0.00381,                    0.9,                0.03439,                0.00842,                    nan,                    nan,                    nan,             0.00049406,             0.00049406,             0.00049406
                     14,                 2.8579,                 3.4312,                 4.1355,                 0.0038,                    0.9,                0.02734,                0.00702,                    nan,                    nan,                    nan,             0.00053305,             0.00053305,             0.00053305
                     15,                 2.8954,                 3.3887,                 4.1196,                0.00373,                    0.9,                0.02502,                0.00738,                    nan,                    nan,                    nan,             0.00057196,             0.00057196,             0.00057196
                     16,                   2.95,                 3.3098,                 4.0938,                0.00383,                  0.925,                0.02079,                0.00671,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     17,                 2.8612,                 3.2594,                 4.0231,                0.00377,                  0.925,                 0.0231,                0.00703,                    nan,                    nan,                    nan,             0.00064955,             0.00064955,             0.00064955
                     18,                 3.0534,                 3.4147,                 4.0514,                0.00384,                  0.925,                0.02153,                0.00633,                    nan,                    nan,                    nan,             0.00068822,             0.00068822,             0.00068822
                     19,                 3.0399,                 3.2641,                  4.023,                0.00369,                    0.9,                0.02307,                0.00606,                    nan,                    nan,                    nan,             0.00072681,             0.00072681,             0.00072681
                     20,                 2.9092,                  3.439,                 3.9958,                0.00367,                    0.9,                0.01817,                0.00569,                    nan,                    nan,                    nan,             0.00076533,             0.00076533,             0.00076533
                     21,                 3.0255,                 3.3561,                 3.9801,                0.00374,                    0.9,                0.01524,                0.00537,                    nan,                    nan,                    nan,             0.00080376,             0.00080376,             0.00080376
                     22,                 2.8971,                 3.3561,                 3.9484,                0.00372,                    0.9,                0.01814,                 0.0058,                    nan,                    nan,                    nan,             0.00084212,             0.00084212,             0.00084212
                     23,                 2.8625,                 3.3657,                  3.941,                0.00377,                    0.9,                0.01967,                0.00622,                    nan,                    nan,                    nan,              0.0008804,              0.0008804,              0.0008804
                     24,                 2.9559,                 3.3047,                 3.8645,                0.00379,                    0.9,                0.01728,                0.00603,                    nan,                    nan,                    nan,              0.0009186,              0.0009186,              0.0009186
                     25,                 2.9845,                 3.1604,                 3.7929,                0.00397,                  0.925,                0.01912,                 0.0065,                    nan,                    nan,                    nan,             0.00095672,             0.00095672,             0.00095672
                     26,                 2.8831,                  3.298,                 3.8175,                0.00388,                    0.9,                0.01788,                0.00653,                    nan,                    nan,                    nan,             0.00099475,             0.00099475,             0.00099475
                     27,                  2.794,                 3.0737,                 3.7154,                0.00378,                    0.9,                0.02228,                0.00734,                    nan,                    nan,                    nan,              0.0010327,              0.0010327,              0.0010327
                     28,                 2.8284,                 3.2321,                 3.7795,                0.00378,                    0.9,                0.02228,                0.00734,                    nan,                    nan,                    nan,              0.0010706,              0.0010706,              0.0010706
                     29,                 2.9602,                 3.2227,                 3.7572,                0.00377,                    0.9,                 0.0453,                0.01398,                    nan,                    nan,                    nan,              0.0011084,              0.0011084,              0.0011084
                     30,                 2.9987,                 3.2277,                 3.6934,                0.00388,                  0.925,                0.02167,                0.00702,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     31,                 2.6223,                 3.0694,                 3.6132,                0.00388,                  0.925,                0.02167,                0.00702,                    nan,                    nan,                    nan,              0.0011838,              0.0011838,              0.0011838
                     32,                 2.5541,                 3.2027,                 3.5677,                0.00376,                    0.9,                0.02356,                0.00829,                    nan,                    nan,                    nan,              0.0012213,              0.0012213,              0.0012213
                     33,                 2.5812,                 3.1367,                  3.546,                0.00377,                    0.9,                0.02376,                0.00742,                    nan,                    nan,                    nan,              0.0012588,              0.0012588,              0.0012588
                     34,                 3.0076,                  3.188,                 3.6336,                0.00377,                    0.9,                0.02376,                0.00742,                    nan,                    nan,                    nan,              0.0012962,              0.0012962,              0.0012962
                     35,                 2.7142,                 3.1088,                 3.6081,                 0.0038,                    0.9,                0.03038,                0.00832,                    nan,                    nan,                    nan,              0.0013335,              0.0013335,              0.0013335
                     36,                 2.7851,                 3.0623,                 3.6581,                 0.0039,                  0.925,                0.02746,                0.00964,                    nan,                    nan,                    nan,              0.0013708,              0.0013708,              0.0013708
                     37,                 2.5498,                  2.894,                 3.4722,                 0.0039,                  0.925,                0.02746,                0.00964,                    nan,                    nan,                    nan,               0.001408,               0.001408,               0.001408
                     38,                 2.7816,                 3.2241,                 3.5354,                0.00378,                    0.9,                0.03163,                0.01145,                    nan,                    nan,                    nan,              0.0014451,              0.0014451,              0.0014451
                     39,                 2.6814,                 3.0958,                 3.4897,                0.00374,                  0.875,                 0.0245,                0.00927,                    nan,                    nan,                    nan,              0.0014821,              0.0014821,              0.0014821
                     40,                 2.6681,                   2.98,                 3.4984,                0.00374,                  0.875,                 0.0245,                0.00927,                    nan,                    nan,                    nan,               0.001519,               0.001519,               0.001519
                     41,                 2.5901,                 2.8321,                 3.3632,                0.00375,                  0.875,                0.02379,                0.00689,                    nan,                    nan,                    nan,              0.0015558,              0.0015558,              0.0015558
                     42,                 2.6687,                 2.9289,                 3.4117,                0.00226,                   0.45,                0.01651,                0.00396,                    nan,                    nan,                    nan,              0.0015926,              0.0015926,              0.0015926
                     43,                 2.6766,                 2.9858,                 3.3888,                0.00226,                   0.45,                0.01651,                0.00396,                    nan,                    nan,                    nan,              0.0016293,              0.0016293,              0.0016293
                     44,                  2.601,                 2.7395,                 3.3794,                0.00388,                    0.9,                0.02093,                0.00592,                    nan,                    nan,                    nan,              0.0016659,              0.0016659,              0.0016659
                     45,                 2.7055,                 2.9082,                 3.3847,                0.00388,                    0.9,                0.02093,                0.00592,                    nan,                    nan,                    nan,              0.0017025,              0.0017025,              0.0017025
                     46,                 2.6696,                 2.6386,                 3.3427,                0.05235,                   0.15,                0.04887,                0.01591,                    nan,                    nan,                    nan,              0.0017389,              0.0017389,              0.0017389
                     47,                 2.5013,                 2.6765,                 3.3883,                0.05235,                   0.15,                0.04887,                0.01591,                    nan,                    nan,                    nan,              0.0017753,              0.0017753,              0.0017753
                     48,                 2.5975,                 2.7431,                 3.2655,                 0.0583,                  0.125,                0.04403,                0.01452,                    nan,                    nan,                    nan,              0.0018116,              0.0018116,              0.0018116
                     49,                 2.5773,                 2.6779,                  3.301,                 0.0583,                  0.125,                0.04403,                0.01452,                    nan,                    nan,                    nan,              0.0018478,              0.0018478,              0.0018478
                     50,                 2.6757,                 2.7338,                 3.3343,                0.05871,                   0.05,                0.03872,                0.01329,                    nan,                    nan,                    nan,               0.001884,               0.001884,               0.001884
                     51,                 2.7162,                 2.7734,                 3.2671,                0.05871,                   0.05,                0.03872,                0.01329,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     52,                 2.7394,                  2.731,                 3.2851,                0.05857,                  0.025,                0.03522,                0.01031,                    nan,                    nan,                    nan,               0.001899,               0.001899,               0.001899
                     53,                 2.5987,                 2.6502,                  3.291,                0.05857,                  0.025,                0.03522,                0.01031,                    nan,                    nan,                    nan,               0.001897,               0.001897,               0.001897
                     54,                 2.8041,                 2.7997,                 3.3468,                0.22524,                  0.025,                0.02665,                0.00847,                    nan,                    nan,                    nan,              0.0018951,              0.0018951,              0.0018951
                     55,                   2.63,                 2.6913,                 3.3358,                0.22524,                  0.025,                0.02665,                0.00847,                    nan,                    nan,                    nan,              0.0018931,              0.0018931,              0.0018931
                     56,                 2.5878,                 2.6473,                 3.1976,                0.08782,                   0.05,                0.03629,                 0.0133,                    nan,                    nan,                    nan,              0.0018911,              0.0018911,              0.0018911
                     57,                 2.5248,                 2.7481,                 3.2518,                0.08782,                   0.05,                0.03629,                 0.0133,                    nan,                    nan,                    nan,              0.0018891,              0.0018891,              0.0018891
                     58,                 2.5399,                 2.8283,                 3.2939,                0.06434,                  0.125,                0.05801,                0.01241,                    nan,                    nan,                    nan,              0.0018871,              0.0018871,              0.0018871
                     59,                 2.7056,                 2.6971,                 3.2874,                0.06434,                  0.125,                0.05801,                0.01241,                    nan,                    nan,                    nan,              0.0018852,              0.0018852,              0.0018852
                     60,                 2.6422,                 2.6799,                 3.2156,                0.12785,                  0.125,                 0.0571,                0.01735,                    nan,                    nan,                    nan,              0.0018832,              0.0018832,              0.0018832
                     61,                 2.6582,                 2.6181,                 3.2155,                0.12785,                  0.125,                 0.0571,                0.01735,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                     62,                  2.441,                 2.5243,                 3.0528,                0.08349,                   0.25,                0.06362,                0.02197,                    nan,                    nan,                    nan,              0.0018792,              0.0018792,              0.0018792
                     63,                 2.4356,                 2.4425,                 3.1212,                0.08349,                   0.25,                0.06362,                0.02197,                    nan,                    nan,                    nan,              0.0018772,              0.0018772,              0.0018772
                     64,                 2.5175,                 2.5558,                 3.2093,                0.11035,                  0.325,                0.09839,                0.03173,                    nan,                    nan,                    nan,              0.0018753,              0.0018753,              0.0018753
                     65,                 2.6264,                 2.5155,                 3.2012,                0.11035,                  0.325,                0.09839,                0.03173,                    nan,                    nan,                    nan,              0.0018733,              0.0018733,              0.0018733
                     66,                 2.6842,                 2.4277,                  3.099,                0.14292,                   0.25,                0.12412,                0.03892,                    nan,                    nan,                    nan,              0.0018713,              0.0018713,              0.0018713
                     67,                 2.3337,                 2.4402,                 3.0911,                0.14292,                   0.25,                0.12412,                0.03892,                    nan,                    nan,                    nan,              0.0018693,              0.0018693,              0.0018693
                     68,                 2.3221,                 2.3493,                 3.0513,                0.21864,                  0.275,                0.16484,                0.04811,                    nan,                    nan,                    nan,              0.0018673,              0.0018673,              0.0018673
                     69,                 2.3393,                 2.1496,                 2.9391,                0.21864,                  0.275,                0.16484,                0.04811,                    nan,                    nan,                    nan,              0.0018654,              0.0018654,              0.0018654
                     70,                 2.5509,                 2.4217,                 3.1394,                  0.133,                    0.2,                 0.0723,                 0.0241,                    nan,                    nan,                    nan,              0.0018634,              0.0018634,              0.0018634
                     71,                 2.4934,                 2.4036,                 3.1736,                  0.133,                    0.2,                 0.0723,                 0.0241,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     72,                 2.5906,                 2.3902,                 3.1831,                0.11714,                  0.225,                0.06874,                0.02021,                    nan,                    nan,                    nan,              0.0018594,              0.0018594,              0.0018594
                     73,                 2.4883,                 2.2889,                 3.1558,                0.11714,                  0.225,                0.06874,                0.02021,                    nan,                    nan,                    nan,              0.0018574,              0.0018574,              0.0018574
                     74,                 2.4364,                 2.3967,                 3.1857,                0.16946,                  0.325,                0.14431,                0.03715,                    nan,                    nan,                    nan,              0.0018555,              0.0018555,              0.0018555
                     75,                 2.4425,                 2.3417,                 3.1099,                0.16946,                  0.325,                0.14431,                0.03715,                    nan,                    nan,                    nan,              0.0018535,              0.0018535,              0.0018535
                     76,                 2.5705,                 2.5383,                 3.2468,                0.47342,                0.29241,                0.23826,                0.06156,                    nan,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
